iter	RMSE
0	72814.18053
1	68482.9632
2	64541.92165
3	61000.72701
4	57723.94096
5	54932.95528
6	52158.28066
7	49703.81012
8	47365.18558
9	45116.25616
10	43353.88581
11	41816.24572
12	40164.56395
13	38776.29602
14	37402.41266
15	36321.89248
16	35269.54287
17	34257.80837
18	33204.88513
19	32279.88037
20	31495.70415
21	30703.06307
22	30041.03509
23	29392.59573
24	28804.49756
25	28329.94927
26	27793.99305
27	27358.33335
28	26966.49252
29	26458.4848
30	26034.89689
31	25688.43531
32	25350.58756
33	24998.7327
34	24672.24944
35	24291.27498
36	24010.50473
37	23747.14543
38	23577.72738
39	23299.82878
40	22996.15002
41	22743.88984
42	22557.98916
43	22376.628
44	22215.29221
45	21997.57951
46	21802.5273
47	21633.80336
48	21488.83337
49	21341.00322
50	21099.94742
51	20982.99803
52	20875.97684
53	20707.82661
54	20625.23959
55	20550.91555
56	20436.78265
57	20352.297
58	20257.27697
59	20057.17804
60	20012.40855
61	19922.1139
62	19863.23195
63	19745.08223
64	19630.20978
65	19507.83103
66	19422.39269
67	19355.62283
68	19215.85202
69	19181.27033
70	19060.24878
71	18949.9281
72	18915.58478
73	18882.96619
74	18741.14219
75	18660.95351
76	18528.70851
77	18417.48172
78	18366.99534
79	18249.06946
80	18215.19704
81	18118.48667
82	18026.8137
83	17987.32916
84	17892.03166
85	17762.55079
86	17623.27256
87	17523.13137
88	17501.83058
89	17413.37334
90	17389.15976
91	17308.73575
92	17229.61394
93	17122.65743
94	17014.42233
95	16937.05948
96	16817.35142
97	16746.08816
98	16663.35639
99	16595.21823
