iter	Passed	Remaining
0	56	5642
1	58	2867
2	59	1939
3	61	1478
4	63	1205
5	64	1017
6	66	882
7	67	781
8	69	703
9	71	639
10	79	639
11	136	998
12	138	925
13	140	862
14	142	806
15	143	755
16	145	709
17	147	670
18	149	638
19	151	606
20	153	577
21	155	550
22	157	528
23	159	506
24	161	485
25	163	464
26	166	449
27	168	433
28	170	416
29	171	400
30	173	386
31	175	373
32	177	360
33	178	347
34	180	335
35	182	324
36	194	331
37	196	320
38	197	309
39	199	298
40	200	288
41	202	279
42	203	270
43	205	261
44	207	253
45	209	245
46	210	237
47	212	230
48	214	223
49	215	215
50	217	208
51	218	201
52	220	195
53	222	189
54	223	182
55	224	176
56	226	170
57	228	165
58	229	159
59	231	154
60	232	148
61	234	143
62	235	138
63	237	133
64	238	128
65	240	124
66	242	119
67	244	114
68	245	110
69	247	105
70	248	101
71	250	97
72	251	93
73	252	88
74	254	84
75	255	80
76	257	76
77	259	73
78	261	69
79	263	65
80	265	62
81	268	58
82	270	55
83	271	51
84	272	48
85	274	44
86	276	41
87	278	37
88	280	34
89	281	31
90	282	27
91	284	24
92	286	21
93	287	18
94	289	15
95	290	12
96	292	9
97	293	5
98	295	2
99	296	0
