iter	Passed	Remaining
0	9	9721
1	12	6171
2	16	5615
3	23	5801
4	25	5137
5	27	4564
6	29	4245
7	31	3967
8	33	3702
9	35	3482
10	36	3300
11	39	3226
12	40	3069
13	41	2955
14	43	2850
15	44	2746
16	51	3001
17	53	2915
18	55	2853
19	57	2831
20	59	2779
21	61	2718
22	62	2665
23	64	2604
24	65	2572
25	67	2535
26	68	2486
27	70	2450
28	71	2400
29	73	2367
30	74	2325
31	76	2316
32	78	2298
33	80	2273
34	81	2253
35	83	2226
36	84	2209
37	86	2196
38	88	2191
39	90	2166
40	91	2150
41	93	2124
42	94	2106
43	96	2091
44	98	2080
45	99	2071
46	100	2044
47	102	2024
48	103	2011
49	105	1999
50	106	1983
51	107	1964
52	109	1948
53	110	1937
54	112	1925
55	113	1920
56	116	1920
57	117	1902
58	118	1893
59	124	1950
60	126	1952
61	132	2007
62	134	1996
63	136	1997
64	138	1985
65	139	1977
66	141	1968
67	142	1959
68	144	1955
69	146	1948
70	148	1936
71	149	1932
72	151	1924
73	153	1918
74	154	1910
75	156	1904
76	158	1895
77	159	1884
78	161	1881
79	162	1872
80	163	1860
81	165	1852
82	166	1841
83	168	1834
84	169	1827
85	171	1819
86	172	1809
87	173	1801
88	175	1795
89	177	1792
90	178	1786
91	180	1779
92	181	1771
93	183	1767
94	185	1762
95	186	1756
96	188	1751
97	189	1743
98	191	1742
99	192	1735
100	194	1735
101	196	1730
102	197	1720
103	199	1715
104	201	1718
105	202	1711
106	203	1701
107	205	1695
108	206	1687
109	208	1683
110	209	1677
111	210	1668
112	211	1662
113	225	1752
114	228	1758
115	230	1755
116	232	1755
117	234	1750
118	235	1746
119	240	1763
120	243	1767
121	245	1763
122	247	1761
123	249	1761
124	250	1753
125	252	1749
126	253	1743
127	256	1745
128	257	1741
129	259	1739
130	261	1736
131	264	1736
132	266	1738
133	268	1733
134	269	1725
135	270	1720
136	273	1723
137	275	1719
138	276	1715
139	279	1715
140	281	1712
141	282	1709
142	284	1703
143	285	1697
144	287	1692
145	288	1688
146	289	1682
147	291	1677
148	292	1671
149	294	1666
150	295	1660
151	296	1656
152	298	1650
153	299	1645
154	301	1641
155	302	1637
156	304	1634
157	305	1628
158	306	1623
159	308	1618
160	309	1613
161	310	1607
162	312	1604
163	313	1600
164	315	1595
165	316	1590
166	317	1584
167	319	1581
168	320	1577
169	322	1574
170	324	1571
171	325	1564
172	326	1562
173	328	1559
174	329	1554
175	331	1549
176	332	1545
177	333	1540
178	335	1536
179	336	1531
180	337	1525
181	338	1520
182	339	1515
183	340	1511
184	342	1507
185	343	1503
186	344	1499
187	346	1495
188	347	1492
189	349	1487
190	350	1485
191	352	1482
192	353	1478
193	354	1473
194	356	1470
195	357	1467
196	359	1463
197	360	1459
198	361	1455
199	362	1451
200	364	1447
201	366	1446
202	367	1443
203	369	1439
204	370	1436
205	371	1433
206	373	1430
207	374	1427
208	376	1424
209	377	1420
210	378	1416
211	380	1412
212	381	1409
213	382	1406
214	384	1403
215	385	1399
216	386	1395
217	388	1392
218	389	1389
219	391	1386
220	392	1383
221	393	1379
222	394	1375
223	396	1372
224	397	1370
225	399	1366
226	400	1362
227	401	1359
228	403	1357
229	404	1354
230	406	1351
231	407	1349
232	408	1346
233	410	1343
234	411	1340
235	413	1338
236	414	1335
237	416	1333
238	417	1329
239	419	1326
240	420	1324
241	421	1321
242	423	1318
243	424	1315
244	425	1312
245	427	1309
246	428	1307
247	430	1305
248	431	1302
249	433	1299
250	434	1297
251	436	1295
252	437	1292
253	438	1288
254	440	1286
255	441	1283
256	443	1281
257	444	1279
258	446	1276
259	447	1274
260	449	1272
261	450	1269
262	452	1267
263	453	1265
264	455	1262
265	456	1259
266	457	1256
267	458	1253
268	460	1251
269	462	1249
270	463	1247
271	465	1244
272	466	1242
273	468	1241
274	469	1238
275	471	1236
276	472	1233
277	474	1231
278	475	1229
279	477	1226
280	478	1224
281	479	1221
282	480	1218
283	482	1215
284	484	1214
285	485	1212
286	487	1209
287	488	1207
288	489	1205
